Episode: 146, Total Reward: 216.5, Max Tile: 64, Steps: 93, Epsilon: 0.864
Episode: 147, Total Reward: 185.9, Max Tile: 64, Steps: 82, Epsilon: 0.863
Episode: 148, Total Reward: 285.2, Max Tile: 128, Steps: 122, Epsilon: 0.862
Episode: 149, Total Reward: 263.9, Max Tile: 128, Steps: 116, Epsilon: 0.862
Episode: 150, Total Reward: 397.1, Max Tile: 128, Steps: 164, Epsilon: 0.861
Episode: 151, Total Reward: 224.8, Max Tile: 128, Steps: 97, Epsilon: 0.860
Episode: 152, Total Reward: 160.3, Max Tile: 64, Steps: 71, Epsilon: 0.859
Episode: 153, Total Reward: 258.9, Max Tile: 128, Steps: 109, Epsilon: 0.858
Episode: 154, Total Reward: 263.8, Max Tile: 128, Steps: 110, Epsilon: 0.857
Episode: 155, Total Reward: 355.1, Max Tile: 128, Steps: 145, Epsilon: 0.856
Episode: 156, Total Reward: 252.0, Max Tile: 64, Steps: 105, Epsilon: 0.855
Episode: 157, Total Reward: 211.1, Max Tile: 64, Steps: 97, Epsilon: 0.855
Episode: 158, Total Reward: 457.1, Max Tile: 256, Steps: 185, Epsilon: 0.854
Episode: 159, Total Reward: 247.6, Max Tile: 64, Steps: 107, Epsilon: 0.853
Episode: 160, Total Reward: 252.3, Max Tile: 64, Steps: 111, Epsilon: 0.852
Episode: 161, Total Reward: 301.7, Max Tile: 128, Steps: 131, Epsilon: 0.851
Episode: 162, Total Reward: 302.7, Max Tile: 128, Steps: 124, Epsilon: 0.850
Episode: 163, Total Reward: 267.8, Max Tile: 128, Steps: 115, Epsilon: 0.850
Episode: 164, Total Reward: 369.5, Max Tile: 128, Steps: 153, Epsilon: 0.849
Episode: 165, Total Reward: 347.1, Max Tile: 128, Steps: 148, Epsilon: 0.848
Episode: 166, Total Reward: 341.3, Max Tile: 128, Steps: 147, Epsilon: 0.847
Episode: 167, Total Reward: 270.8, Max Tile: 64, Steps: 113, Epsilon: 0.846
Episode: 168, Total Reward: 315.6, Max Tile: 128, Steps: 135, Epsilon: 0.845
Episode: 169, Total Reward: 372.4, Max Tile: 128, Steps: 143, Epsilon: 0.844
Episode: 170, Total Reward: 322.5, Max Tile: 128, Steps: 130, Epsilon: 0.844
Episode: 171, Total Reward: 383.4, Max Tile: 128, Steps: 155, Epsilon: 0.843
Episode: 172, Total Reward: 356.7, Max Tile: 128, Steps: 145, Epsilon: 0.842
Episode: 173, Total Reward: 247.4, Max Tile: 64, Steps: 105, Epsilon: 0.841
Episode: 174, Total Reward: 236.7, Max Tile: 64, Steps: 112, Epsilon: 0.840
Episode: 175, Total Reward: 193.2, Max Tile: 64, Steps: 83, Epsilon: 0.839
Episode: 176, Total Reward: 315.9, Max Tile: 128, Steps: 132, Epsilon: 0.839
Episode: 177, Total Reward: 202.0, Max Tile: 64, Steps: 93, Epsilon: 0.838
Episode: 178, Total Reward: 327.4, Max Tile: 128, Steps: 139, Epsilon: 0.837
Episode: 179, Total Reward: 577.1, Max Tile: 256, Steps: 229, Epsilon: 0.836
Episode: 180, Total Reward: 369.9, Max Tile: 128, Steps: 154, Epsilon: 0.835
Episode: 181, Total Reward: 81.0, Max Tile: 16, Steps: 46, Epsilon: 0.834
Episode: 182, Total Reward: 402.9, Max Tile: 128, Steps: 162, Epsilon: 0.834
Episode: 183, Total Reward: 99.8, Max Tile: 32, Steps: 53, Epsilon: 0.833
Episode: 184, Total Reward: 311.5, Max Tile: 64, Steps: 128, Epsilon: 0.832
Episode: 185, Total Reward: 152.0, Max Tile: 64, Steps: 68, Epsilon: 0.831
Episode: 186, Total Reward: 344.1, Max Tile: 128, Steps: 140, Epsilon: 0.830
Episode: 187, Total Reward: 424.5, Max Tile: 128, Steps: 175, Epsilon: 0.829
Episode: 188, Total Reward: 331.3, Max Tile: 128, Steps: 132, Epsilon: 0.829
Episode: 189, Total Reward: 152.8, Max Tile: 32, Steps: 69, Epsilon: 0.828
Episode: 190, Total Reward: 170.1, Max Tile: 64, Steps: 74, Epsilon: 0.827
Episode: 191, Total Reward: 254.9, Max Tile: 128, Steps: 106, Epsilon: 0.826
Episode: 192, Total Reward: 481.4, Max Tile: 256, Steps: 198, Epsilon: 0.825
Episode: 193, Total Reward: 323.4, Max Tile: 128, Steps: 127, Epsilon: 0.824
Episode: 194, Total Reward: 227.2, Max Tile: 64, Steps: 97, Epsilon: 0.824
Episode: 195, Total Reward: 330.5, Max Tile: 128, Steps: 141, Epsilon: 0.823
